candidate_id,zone_id,candidate_zone_id,candidate_x_m,candidate_y_m,zone_center_x_m,zone_center_y_m,distance_m_계산,radius_low_m,radius_nominal_m,radius_high_m,cover_low_계산,cover_nominal_계산,cover_high_계산,same_zone,데이터구분,한계
C01,Z01,Z01,11,18,11,18,0,3,5,8,0.130899,0.36361,0.796526,1,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C01,Z02,Z01,11,18,31,18,20,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C01,Z03,Z01,11,18,50,18,39,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C01,Z04,Z01,11,18,19,6,14.422,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C01,Z05,Z01,11,18,7,6,12.649,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C01,Z06,Z01,11,18,8,31,13.342,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C01,Z07,Z01,11,18,22,31,17.029,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C01,Z08,Z01,11,18,44,6,35.114,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C01,Z09,Z01,11,18,32,6,24.187,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C01,Z10,Z01,11,18,53,31,43.966,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C01,Z11,Z01,11,18,38,31,29.967,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C01,Z12,Z01,11,18,54,6,44.643,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C02,Z01,Z02,31,18,11,18,20,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C02,Z02,Z02,31,18,31,18,0,3,5,8,0.130899,0.36361,0.796526,1,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C02,Z03,Z02,31,18,50,18,19,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C02,Z04,Z02,31,18,19,6,16.971,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C02,Z05,Z02,31,18,7,6,26.833,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C02,Z06,Z02,31,18,8,31,26.42,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C02,Z07,Z02,31,18,22,31,15.811,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C02,Z08,Z02,31,18,44,6,17.692,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C02,Z09,Z02,31,18,32,6,12.042,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C02,Z10,Z02,31,18,53,31,25.554,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C02,Z11,Z02,31,18,38,31,14.765,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C02,Z12,Z02,31,18,54,6,25.942,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C03,Z01,Z03,50,18,11,18,39,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C03,Z02,Z03,50,18,31,18,19,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C03,Z03,Z03,50,18,50,18,0,3,5,8,0.147262,0.409061,0.896092,1,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C03,Z04,Z03,50,18,19,6,33.242,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C03,Z05,Z03,50,18,7,6,44.643,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C03,Z06,Z03,50,18,8,31,43.966,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C03,Z07,Z03,50,18,22,31,30.871,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C03,Z08,Z03,50,18,44,6,13.416,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
C03,Z09,Z03,50,18,32,6,21.633,3,5,8,0,0,0,0,합성 파생(부분면적),센서 원∩구역 사각형 면적/구역 면적; 2D 평면·등방성 원형 반경 가정; 벽·높이·공조·가스 물성 미반영
