tm,stn,wd_deg,ws_ms
202607260000,108,25.0,1.4
202607260100,108,18.0,1.7
202607260200,108,20.0,2.1
202607260300,108,20.0,2.5
202607260400,108,16.0,1.4
202607260500,108,18.0,1.6
202607260600,108,18.0,3.1
202607260700,108,23.0,2.7
202607260800,108,20.0,2.0
202607260900,108,23.0,2.7
202607261000,108,20.0,3.0
202607261100,108,18.0,3.2
202607261200,108,23.0,4.0
202607261300,108,27.0,2.8
202607261400,108,20.0,3.3
202607261500,108,23.0,3.8
202607261600,108,27.0,4.3
202607261700,108,27.0,3.6
202607261800,108,27.0,2.9
202607261900,108,27.0,2.2
202607262000,108,27.0,1.8
202607262100,108,27.0,2.0
202607262200,108,27.0,1.8
202607262300,108,29.0,1.5
202607270000,108,20.0,2.0
